Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
91,H7,97,hypercapnia,24.C,22.114,27.478,16.776,29.39244843,30.8863678,25.396,24.006,26.127,27.366,27.593,29.967,23.039,25.982,26.784,21.125,18.73306589,21.692,18.985,28.827,28.69343213,24.57080342,26.762,26.031
92,H8,97,hypercapnia,24.C,22.186,27.562,16.973,29.52737045,30.87223244,25.502,24.061,26.728,27.218,27.842,29.984,23.661,26.065,27.081,21.179,18.35830621,21.86,19.083,31.703,28.55166653,24.55949094,26.357,26.153
45,D9,98,hypercapnia,24.C,22.693,28.464,16.032,30.18062401,31.90441895,26.163,23.479,27.075,26.775,27.821,29.854,23.915,26.59,25.347,20.856,18.45338945,22.268,19.103,29.521,28.96774319,24.97106625,28.051,27.317
46,D10,98,hypercapnia,24.C,22.801,28.381,16.286,30.44698906,31.85498619,26.233,23.512,NA,26.757,28.181,29.775,24.33,26.616,25.336,20.882,18.64633684,22.558,19.28,29.71,28.85581807,24.92279126,28.05,27.444
61,F1,100,hypercapnia,24.C,21.952,27.116,16.049,29.14255333,28.61532974,25.707,23.312,26.684,25.577,26.698,28.705,24.064,26.509,24.438,20.995,17.4828186,22.517,19.318,27.847,28.02063179,24.71784782,24.964,25.858
62,F2,100,hypercapnia,24.C,21.893,26.963,16.04,29.27716827,28.53100014,25.549,23.199,26.772,25.565,26.706,28.624,24.114,26.534,24.45,20.98,18.56430054,22.639,19.159,27.941,28.08548737,24.71598625,24.849,26.866
77,G5,101,hypercapnia,30.C,22.104,26.757,16.771,25.37334633,22.58069038,23.207,24.716,26.564,21.803,23.23,28.72,21.683,26.466,24.957,21.347,17.82124452,23.224,19.456,28.059,26.77290372,25.28183247,24.263,25.301
78,G6,101,hypercapnia,30.C,22.645,26.705,16.81,26.48425484,22.70295715,23.705,24.422,26.489,21.841,23.27,28.934,21.964,26.593,24.972,21.409,18.5362771,23.075,19.396,27.843,26.88651494,25.29984547,24.249,25.299
49,E1,102,hypercapnia,30.C,22.07,27.523,17.674,27.40529823,21.81992149,NA,25.724,26.875,22.155,21.817,29.744,20.121,26.498,24.767,22.098,17.82515268,24.612,19.656,29.173,27.74730328,26.35737302,25.891,26.168
50,E2,102,hypercapnia,30.C,22.163,27.493,17.643,27.22074318,21.89566612,23.936,25.629,27.265,22.154,21.992,29.365,20.382,26.545,24.732,22.133,17.86209612,23.918,19.771,29.059,27.79743985,26.5059879,25.63,26.155
45,D9,104,hypercapnia,30.C,21.634,27.104,16.043,29.18482208,28.55336189,25.565,23.217,NA,25.893,26.407,29.352,24.302,25.944,27.927,20.913,18.53772736,21.597,19.922,28.056,28.00266838,24.65274048,25.562,25.761
46,D10,104,hypercapnia,30.C,21.663,27.28,16.081,29.27514648,28.54105186,25.649,23.184,26.744,25.929,26.513,29.185,24.492,25.982,28.097,20.859,18.0745163,21.767,19.924,28.129,27.9875679,24.55125999,25.626,25.724
81,G9,105,hypercapnia,30.C,22.123,26.635,17.213,25.98890877,22.93315315,23.655,24.917,25.678,21.831,23.819,NA,21.402,27.399,26.192,22.091,18.23323564,23.647,20.122,27.619,26.58048276,25.43013074,24.002,25.356
