Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
35,C11,26,control,30.C,22.618,27.414,21.361,27.378,25.397,25.083,26.145,27.129,24.895,26.436,29.51,22.678,27.94200056,27.191,24.98,19.73037148,25.641,24.097,25.614,27.152,25.91486964,22.96386763,26.15893346
36,C12,26,control,30.C,22.5,27.496,21.467,27.567,25.448,25.187,26.537,27.151,24.956,26.265,29.422,22.693,27.88499945,27.123,24.969,19.84256363,26.147,24.069,25.707,27.118,25.83602367,23.00448462,26.14882642
7,A7,28,control,30.C,21.572,26.202,20.209,25.145,24.269,23.54,25.082,25.584,23.907,26.782,28.116,21,26.50600052,25.698,23.375,18.32422066,24.337,23.364,24.958,25.947,24.80356407,20.78140259,25.12153435
8,A8,28,control,30.C,21.674,26.171,20.149,25.301,24.572,23.55,25.117,25.419,23.84,26.118,28.037,21,26.52799988,25.722,23.398,17.93207741,24.381,23.275,24.924,25.932,24.74461174,20.68371773,25.06971741
7,A7,28,control,30.C,21.512,26.148,20.224,24.885,24.553,23.188,24.839,25.059,23.538,26.472,28.18,20.955,26.22400015,25.462,23.461,18.05607605,24.095,23.183,24.735,25.654,24.56529269,20.70530554,25.06343251
8,A8,28,control,30.C,21.478,26.054,20.196,24.837,24.598,23.117,25.071,25.483,23.547,26.604,27.991,20.974,26.23800009,25.481,23.501,17.70529175,23.879,23.181,24.666,25.683,24.64289317,20.60388609,24.79929524
87,H3,30,control,30.C,21.662,26.263,20.829,26.222,24.007,23.776,25.573,25.728,24.45,26.056,28.17,21.201,27.07500076,23.916,24.138,18.92421722,24.313,23.694,25.647,25.94,23.98992348,21.77404213,24.58648682
88,H4,30,control,30.C,21.843,26.396,20.773,26.157,23.964,23.787,25.367,25.461,24.536,26.116,27.994,21.227,27.09399986,23.741,24.069,18.65640068,24.728,23.501,25.614,25.994,24.19138527,21.85442734,24.4967556
43,D7,32,control,32.C,20.629,25.357,20.342,25.13,22.212,22.783,24.658,24.958,21.961,23.687,27.915,20.816,26.56800079,23.733,23.572,17.28343582,24.485,22.968,25.492,24.365,24.26170921,21.45677376,23.9412632
44,D8,32,control,32.C,20.74,25.363,20.34,25.149,22.198,22.981,24.632,25.102,21.972,23.222,27.922,20.65,26.57999992,23.67,23.533,17.5343399,24.905,23.068,25.667,24.436,24.36488152,21.43305016,23.9698143
81,G9,34,control,32.C,20.456,25.249,19.807,25.249,23.009,22.531,24.328,24.471,23.783,25.583,27.253,20.597,26.25200081,22.873,22.681,16.83401871,23.829,22.645,24.912,24.871,24.37203789,19.96459579,24.08245277
82,G10,34,control,32.C,20.563,25.37,19.958,25.282,23.121,22.64,24.508,24.476,23.242,25.745,27.357,20.581,26.33300018,22.931,22.761,18.39316177,24.058,22.581,24.855,24.813,24.19879723,19.78822136,24.06315804
47,D11,35,control,32.C,20.577,25.498,20.221,24.715,23.013,22.733,24.372,24.978,23.293,25.508,27.589,20.853,NA,23.896,23.319,18.8453598,23.993,22.687,24.181,24.565,24.60570526,19.90253258,24.10210991
48,D12,35,control,32.C,20.63,25.481,20.254,24.737,23.188,22.787,24.539,24.97,23.301,25.38,27.749,20.747,26.43600082,23.681,23.295,17.77165794,24.482,22.719,24.273,24.583,24.5702343,19.56338692,24.24295425
29,C5,39,control,32.C,20.825,25.686,19.905,26.091,23.224,22.552,24.795,25.142,23.566,25.165,27.923,20.656,26.07799911,23.375,23.185,17.69118118,24.282,23.131,25.075,25.703,24.42848969,20.63902092,24.37244797
30,C6,39,control,32.C,20.92,25.707,19.839,25.957,23.413,23.069,24.912,24.985,23.576,25.241,27.954,20.58,26.0720005,23.429,23.141,18.65082169,24.039,23.194,25.043,25.114,24.35048485,20.57055092,24.41697502
13,B1,41,hypoxia,18.C,21.633,26.064,20.261,28.454,32.058,22.607,24.66,25.591,29.095,29.413,28.359,24.481,26.20000076,28.708,22.627,18.16591454,23.758,23.285,26.529,26.919,24.33742142,22.60189247,25.00960159
14,B2,41,hypoxia,18.C,21.633,26.114,19.849,28.374,31.968,22.416,24.728,25.472,29.234,29.431,28.186,24.448,26.17900085,28.964,22.627,19.47383308,23.541,23.102,26.192,26.828,24.22036362,22.42604446,24.76911926
33,C9,43,hypoxia,18.C,21.703,25.922,19.858,27.409,31.188,22.198,23.781,24.27,28.737,28.742,27.618,24.496,25.47899931,27.138,22.455,18.85141945,22.911,22.489,25.759,26.086,23.49242435,21.69681212,24.41350919
